Title,Rating,Year Released,Length of Movie,Type,Genre,Image_Path
London Has Fallen,R,2016,99 min,Movie,"Action, Thriller",https://m.media-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg
Life,R,2017,104 min,Movie,"Horror, Sci-Fi, Thriller",https://m.media-amazon.com/images/M/MV5BNWNkYWYzNGUtOWVjNS00MGY0LWIyY2YtODllNGIxOGRlOTgyXkEyXkFqcGc@._V1_SX300.jpg
Love Hurts,R,2025,83 min,Movie,"Action, Comedy, Romance",https://m.media-amazon.com/images/M/MV5BZDBmMTVkNWItZWY4Yy00MjI0LWFiMmMtMWM4ZGQ3NTg0MDE1XkEyXkFqcGc@._V1_SX300.jpg
Let's Be Cops,R,2014,104 min,Movie,"Action, Comedy, Crime",https://m.media-amazon.com/images/M/MV5BMjI3MDY2ODQwNF5BMl5BanBnXkFtZTgwNjUzNjE4MTE@._V1_SX300.jpg
Monk: Seasons 1-4,TV-PG,2002,2700 min,TV,Comedy / Crime / Drama,
Monk: Seasons 5-8,TV-PG,2006,2700 min,TV,Comedy / Crime / Drama,
Tag,R,2018,100 min,Movie,"Action, Comedy",https://m.media-amazon.com/images/M/MV5BM2VhYTg4M2MtMWJiNS00ZTExLWI4MTMtNjE1NTQ1ODA0MTJjXkEyXkFqcGc@._V1_SX300.jpg
Taken / Taken 2 (Double Feature),PG-13,2008,185 min,Movie,Action / Thriller,
Transformers 4-Movie Collection,PG-13,2007,580 min,Movie,Action / Sci-Fi,
The Theory of Everything,PG-13,2014,123 min,Movie,"Biography, Drama, Romance",https://m.media-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg
The Ugly Truth,R,2009,96 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTM2MTM2OTUwNl5BMl5BanBnXkFtZTcwNTgwNTE0Mg@@._V1_SX300.jpg
The Unbearable Weight of Massive Talent,R,2022,107 min,Movie,"Action, Comedy, Crime",https://m.media-amazon.com/images/M/MV5BMWEzMTA3MjAtOTkwYS00ZTNlLWIzYzMtMDIxNzU0NTlkMGRlXkEyXkFqcGc@._V1_SX300.jpg
Wonder Woman,PG-13,2017,141 min,Movie,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BMjEzYmZkNjktODBmYi00NzNkLWIzMjItMjhkMWZiZTZlN2MwXkEyXkFqcGc@._V1_SX300.jpg
We're the Millers,R,2013,110 min,Movie,"Comedy, Crime",https://m.media-amazon.com/images/M/MV5BNDQ0NWI1ZGEtY2NlMy00MWYyLTk4NGEtMTY5MmQ4YTcyY2E0XkEyXkFqcGc@._V1_SX300.jpg
Freaky Friday / Freaky Friday (Double Feature),PG,2003,192 min,Movie,Comedy / Family / Fantasy,
Fifty Shades 3-Movie Collection,R,2015,370 min,Movie,Drama / Romance,
Ford v Ferrari,PG-13,2019,152 min,Movie,"Action, Biography, Drama",https://m.media-amazon.com/images/M/MV5BOTBjNTEyNjYtYjdkNi00YzE5LTljYzUtZjVlYmYwZmJmZWYxXkEyXkFqcGc@._V1_SX300.jpg
Forrest Gump,PG-13,1994,142 min,Movie,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY562_CR4,0,380,562_.jpg"
Friends with Benefits,R,2011,109 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BMTQ2MzQ0NTk4N15BMl5BanBnXkFtZTcwMDc2NDYzNQ@@._V1_SX300.jpg
Frozen,PG,2013,102 min,Movie,"Animation, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg
Tall Guy / Fall Guy,R,1989,90 min,Movie,Comedy,
Fantastic Beasts and Where to Find Them,PG-13,2016,132 min,Movie,"Adventure, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg
Fantastic Beasts: The Crimes of Grindelwald,PG-13,2018,134 min,Movie,"Adventure, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BZGIyZjk5ODctNDg3MC00YTgyLThmYTAtNjZkNzk4Y2JhMDRhXkEyXkFqcGc@._V1_SX300.jpg
Fantastic Beasts: The Secrets of Dumbledore,PG-13,2022,142 min,Movie,"Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BZjJmNDc3NTMtZjU4Yy00N2FkLTljYWEtMGZlOTA4ODcwNTc3XkEyXkFqcGc@._V1_SX300.jpg
Guardians of the Galaxy Vol. 2,PG-13,2017,136 min,Movie,"Action, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BNWE5MGI3MDctMmU5Ni00YzI2LWEzMTQtZGIyZDA5MzQzNDBhXkEyXkFqcGc@._V1_QL75_UX380_CR0,1,380,562_.jpg"
The Great Gatsby,PG-13,2013,143 min,Movie,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_QL75_UX380_CR0,4,380,562_.jpg"
Gladiator,R,2000,155 min,Movie,"Action, Adventure, Drama","https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Get Hard,R,2015,100 min,Movie,"Comedy, Crime, Drama",https://m.media-amazon.com/images/M/MV5BMTc3OTc1NjM0M15BMl5BanBnXkFtZTgwNjAyMzE1MzE@._V1_SX300.jpg
Game Night,R,2018,100 min,Movie,"Action, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BMjI3ODkzNDk5MF5BMl5BanBnXkFtZTgwNTEyNjY2NDM@._V1_SX300.jpg
Galaxy Quest,PG,1999,102 min,Movie,"Adventure, Comedy, Sci-Fi",https://m.media-amazon.com/images/M/MV5BZmJkYmNhMGMtMDYyNC00ZDEyLWE2ZjAtYTg5OWViODJlNDdmXkEyXkFqcGc@._V1_SX300.jpg
The Greatest Showman,PG,2017,105 min,Movie,"Biography, Drama, Musical",https://m.media-amazon.com/images/M/MV5BMjI1NDYzNzY2Ml5BMl5BanBnXkFtZTgwODQwODczNTM@._V1_SX300.jpg
Get Smart / Get Smart's Bruce and Lloyd Out of Control,PG-13,2008,182 min,Movie,Action / Comedy,
The Muppet Christmas Carol,G,1992,85 min,Movie,"Comedy, Drama, Family",https://m.media-amazon.com/images/M/MV5BNTIwOTAyMDgtNTY1Zi00ZWMyLWFjMjAtNjI5YWIyOTE2NDJhXkEyXkFqcGc@._V1_SX300.jpg
Matilda,PG,1996,98 min,Movie,"Comedy, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BYWE3ZDMzMmEtODgwNi00NzMxLThkYWItMTAzMWUyMzI1NDQ1XkEyXkFqcGc@._V1_SX300.jpg
Mamma Mia! Here We Go Again,PG-13,2018,114 min,Movie,"Comedy, Musical, Romance",https://m.media-amazon.com/images/M/MV5BMjEwMTM3OTI1NV5BMl5BanBnXkFtZTgwNDk5NTY0NTM@._V1_SX300.jpg
Megamind,PG,2010,95 min,Movie,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg
Men in Black / Men in Black II (Double Feature),PG-13,1997,186 min,Movie,Action / Adventure / Comedy,
Mrs. Doubtfire,PG-13,1993,125 min,Movie,"Comedy, Drama, Family",https://m.media-amazon.com/images/M/MV5BY2E2MDc5ZGEtOTNlZS00Mjg4LThlNzUtMDY2Zjc4ZTViNWY0XkEyXkFqcGc@._V1_SX300.jpg
The Magnificent Seven,PG-13,2016,132 min,Movie,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_SX300.jpg
Maid in Manhattan / The Wedding Planner (Double Feature),PG-13,2002,209 min,Movie,Comedy / Romance,
Man of Steel,PG-13,2013,143 min,Movie,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_QL75_UY562_CR0,0,380,562_.jpg"
Mission: Impossible 6-Movie Collection,PG-13,1996,772 min,Movie,Action / Adventure / Thriller,
The Secret Life of Walter Mitty,PG,2013,114 min,Movie,"Adventure, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg
No Hard Feelings,R,2023,103 min,Movie,"Comedy, Romance","https://m.media-amazon.com/images/M/MV5BZjk1NmZiNzYtZGUyYi00YzEwLTgwNWQtM2VmOWFmMGIwZDM2XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"
Teenage Mutant Ninja Turtles / Out of the Shadows,PG-13,2016,112 min,Movie,"Action, Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BZDgyNWExMzUtOTAyMy00ZjkzLWFhNzgtZTFhOTBmN2RhZGJhXkEyXkFqcGc@._V1_SX300.jpg
The Time Traveler's Wife,PG-13,2009,107 min,Movie,"Drama, Fantasy, Romance",https://m.media-amazon.com/images/M/MV5BOGU4M2JjNmEtYTVkOS00ZWY5LTllODQtNWExN2U1NzQwZGEwXkEyXkFqcGc@._V1_SX300.jpg
The Notebook,PG-13,2004,123 min,Movie,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BZjE0ZjgzMzYtMTAxYi00NGMzLThmZDktNzFlMzA2MWRmYWQ0XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"
Night at the Museum 3-Movie Collection,PG,2006,315 min,Movie,Adventure / Comedy / Family,
Now You See Me,PG-13,2013,115 min,Movie,"Crime, Mystery, Thriller",https://m.media-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg
Navy Seals / Red Dawn (Double Feature),R / PG-13,1990,227 min,Movie,Action / Thriller,
Woman in Gold,PG-13,2015,109 min,Movie,"Biography, Drama, History",https://m.media-amazon.com/images/M/MV5BNjc0NzY3OTE0Nl5BMl5BanBnXkFtZTgwNDUyODA4MzE@._V1_SX300.jpg
While You Were Sleeping,PG,1995,103 min,Movie,"Comedy, Drama, Romance",https://m.media-amazon.com/images/M/MV5BZTJmOWIzY2YtYmE2ZC00NDRiLWIzYmMtNTkyNmNlMTA0N2NkXkEyXkFqcGc@._V1_SX300.jpg
Will Ferrell 3-Movie Collection,PG-13 / R,2004,Varies,Movie,Comedy,
"What's Up, Doc?",G,1972,94 min,Movie,"Comedy, Romance",https://m.media-amazon.com/images/M/MV5BNWM0YjRkNDctMDlmZi00MGFmLWFhYTMtNTIyZTc1NmMwNzAzXkEyXkFqcGc@._V1_SX300.jpg
It's a Wonderful Life,PG,1946,130 min,Movie,"Drama, Family, Fantasy",https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_SX300.jpg
X-Men / X2 / X-Men: The Last Stand (Trilogy),PG-13,2000,381 min,Movie,Action / Sci-Fi,
Zombieland,R,2009,88 min,Movie,"Action, Comedy, Horror",https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg
42: The Jackie Robinson Story,PG-13,2013,128 min,Movie,Biography / Drama / Sport,
4 Film Favorites: Girls Night Collection (27 Dresses / Bride Wars / What Happens in Vegas / What's Your Number?),PG-13 / R,2008,400 min,Movie,Comedy / Romance,
3 Film Collection (American Sniper / Gran Torino / Sully),PG-13 / R,2008,345 min,Movie,Biography / Drama,
